month,energy,mean.temp,total.area,total.passengers,domestic.passengers,US.passengers,international.passengers
Jan-97,5958,3.9,202966,1068.36,573.84,263.13,231.38
Feb-97,5859,5,202966,1040.3,570.36,267.39,202.56
Mar-97,5230,6.3,202966,1195.47,632.68,319.09,243.71
Apr-97,5654,9.1,202966,1086.42,599.11,265.37,221.94
May-97,5618,14,202966,1244.52,673.7,307.55,263.27
Jun-97,5963,15.6,202966,1352.89,729.84,333.89,289.16
Jul-97,5920,17.7,202966,1517.17,807.9,388.91,320.36
Aug-97,6430,19,202966,1668.83,869.27,428.65,370.91
Sep-97,6053,15.9,202966,1348.09,714.28,330.92,302.89
Oct-97,5514,10.4,202966,1195.02,662.97,286.39,245.66
Nov-97,5633,7.4,202966,964.9,523.7,251,190.2
Dec-97,5545,4.8,202966,1136.6,616.81,291.19,228.6
Jan-98,5825,4.5,202966,1116.81,558.84,305.16,252.82
Feb-98,5617,7.1,202966,1022.71,536.99,278.95,206.77
Mar-98,4970,7.9,202966,1207.28,625.68,337.42,244.18
Apr-98,5331,9.6,202966,1134.33,609.17,293.56,231.59
May-98,5233,13.4,202966,1309.21,696.82,352.11,260.28
Jun-98,5557,16.5,202966,1419.28,744.52,375.07,299.69
Jul-98,5841,19.3,202966,1597.61,828.03,434.96,334.62
Aug-98,6489,19.1,202966,1736.54,887.1,478.04,371.41
Sep-98,6138,16.1,202966,1385.78,715.39,371.92,298.47
Oct-98,5539,10.8,202966,1321.31,757.49,309.21,254.62
Nov-98,5667,7.9,202966,1046.53,581.06,276.43,189.04
Dec-98,5730,3.7,202966,1210.72,674.27,309.7,226.76
Jan-99,6030,5,224515,1151.3,591.32,315.47,244.51
Feb-99,5954,5.5,224515,1108.2,588.72,296.5,222.98
Mar-99,5326,6.4,224515,1302.49,676.13,365.36,261.01
Apr-99,5672,8.7,224515,1203.5,660.83,294.3,248.37
May-99,5301,11.3,224515,1341.7,716.13,349.05,276.52
Jun-99,5777,14.5,248046,1422.09,738.74,369.82,313.52
Jul-99,5831,16.6,248046,1630.84,827.29,448.81,354.74
Aug-99,6345,18.3,248046,1717.77,863.78,469.24,384.75
Sep-99,6309,14.6,248046,1411.76,720.07,362.2,329.48
Oct-99,6068,9.6,248046,1253.09,692.98,290.08,270.03
Nov-99,6372,7.8,248046,1096.93,601.63,267.55,227.76
Dec-99,6302,4.9,248046,1166.84,636.31,291.83,238.7
Jan-00,6570,3.5,248046,1125.89,577.5,298.83,249.57
Feb-00,6497,5.1,248046,1143.34,588.66,310.08,244.6
Mar-00,6106,7,248046,1282.82,655.67,351.23,275.92
Apr-00,6330,9.7,248046,1242.36,647.96,309.66,284.74
May-00,6070,11.7,248046,1353.3,698.39,344.09,310.82
Jun-00,6401,15.6,248046,1486.69,753.85,380.28,352.56
Jul-00,6697,17.5,248046,1652.32,820.78,440.85,390.69
Aug-00,7003,17.1,248046,1739.4,883.69,446.82,408.89
Sep-00,6760,15,248046,1438.57,737.57,351.99,349.01
Oct-00,6192,10.4,248046,1266.56,716.02,269.42,281.12
Nov-00,6334,5.5,248046,1074.87,582.07,261.92,230.88
Dec-00,6371,3.5,248046,1226.42,643.83,309.13,273.45
01-Jan,6501,5.1,248046,1220.57,598.1,320.66,301.81
01-Feb,6435,3.8,248046,1146.89,588.37,313.61,244.91
01-Mar,5674,6.7,248046,1269.07,651.21,331.88,285.98
01-Apr,6206,8.8,248046,1241.64,644.92,306.39,290.33
01-May,6094,12.3,248046,1381.68,719.66,355.49,306.52
01-Jun,6544,14.7,248046,1480.69,732.42,400.62,347.65
01-Jul,6602,17.2,248046,1679.27,798.35,485.55,395.36
01-Aug,6886,17.5,248046,1799.74,860.33,514.59,424.83
01-Sep,6677,14.8,248046,1161.93,571.22,269.68,321.02
01-Oct,6133,10,248046,1064.99,598.79,225.07,241.13
01-Nov,6088,7.8,248046,920.21,517.02,212.43,190.77
01-Dec,6291,4,248046,1110.09,588.24,264.49,257.37
02-Jan,6349,4.2,248046,1088.46,537.93,280.12,270.41
02-Feb,6286,4.8,248046,1036.75,518.49,271.55,246.71
02-Mar,5588,4.3,248046,1175.25,584.73,300.03,290.49
02-Apr,5914,8.7,248046,1122.67,585.74,265.85,271.09
02-May,5716,11.7,248046,1247.97,643.32,307.54,297.1
02-Jun,6235,16.4,248046,1366.04,654.7,382.5,328.84
02-Jul,6483,17.9,248046,1552.09,718.41,466.4,367.28
02-Aug,6708,17.9,248046,1660.84,789.91,469.59,401.34
02-Sep,6553,15,248046,1307.99,642.11,332.02,333.86
02-Oct,5837,9.7,248046,1197.79,641.13,263.17,293.49
02-Nov,5961,7.7,248046,963.46,507.13,227.25,229.08
02-Dec,5828,5.3,248046,1158.24,598.77,289.19,270.28
03-Jan,6126,6.3,248046,1118.8,537.3,292.12,289.38
03-Feb,6020,4.6,248046,1030.1,513.43,277.04,239.64
03-Mar,5375,7.3,248046,1158.83,570.5,313.91,274.42
03-Apr,5741,9.3,248046,969.73,522.29,244.37,203.07
03-May,5635,12.6,248046,1083.25,583.66,299.19,200.4
03-Jun,6199,16.8,248046,1231.74,617.52,365.62,248.59
03-Jul,6376,19.1,248046,1482.81,715.29,453.25,314.28
03-Aug,6844,18.6,248046,1641.25,784.1,482.33,374.82
03-Sep,6379,15.8,248046,1268.54,636.24,320.67,311.63
03-Oct,5822,11.6,248046,1160.74,636.2,248.26,276.28
03-Nov,5884,4.6,248046,985.08,523.61,232.76,228.71
03-Dec,5820,4.4,248046,1190.64,626.39,284.9,279.35
04-Jan,6105,4.1,248046,1136.34,552.05,289.13,295.16
04-Feb,6014,5.9,248046,1106.24,571.12,285.7,249.42
04-Mar,5552,8.1,248046,1219.33,618.64,320.42,280.27
04-Apr,5908,11.1,248046,1168.33,606.01,290.88,271.44
04-May,5956,14.1,248046,1305.04,665.67,320.37,319
04-Jun,6399,17.3,248046,1433.81,705.28,373.44,355.1
04-Jul,6572,19.7,248046,1644.14,793.92,453.06,397.16
04-Aug,7043,19.3,248046,1726.31,831.46,474.23,420.61
04-Sep,6418,14.5,248046,1414.01,710.75,345.15,358.11
04-Oct,5741,10.8,248046,1246.17,679.53,265.09,301.55
04-Nov,6497,6.8,248046,1053.98,568.64,247.63,237.72
04-Dec,6207,5.3,248046,1272.01,682.81,299.44,289.76
05-Jan,6504,3.7,248046,1247.87,627.04,313.87,306.96
05-Feb,6337,4.3,248046,1158.19,605.23,288.35,264.61
05-Mar,5644,8.4,248046,1319.43,673.77,348.82,296.85
05-Apr,6148,10.1,248046,1214.21,614.04,297.98,302.19
05-May,6141,14.3,248046,1376.3,691.92,346.31,338.06
05-Jun,6521,15.6,248046,1493.04,747.76,376.26,369.03
05-Jul,6661,18.1,248046,1698.56,816.07,461.18,421.32
05-Aug,7387,19,248046,1773.35,868.34,463.43,441.58
05-Sep,6815,14.7,248046,1451.19,736.21,345.11,369.87
05-Oct,6173,11.3,248046,1299.84,694.53,284.98,320.33
05-Nov,6319,5.6,248046,1108.67,604.82,263.02,240.83
05-Dec,6434,4.6,248046,1278.23,668.23,317.12,292.88
06-Jan,6544,6.3,248046,1233.87,623.64,307.9,302.33
06-Feb,6534,4.3,248046,1175.83,616.24,302.74,256.86
06-Mar,5809,6.5,248046,1365.37,705.64,353.18,306.56
06-Apr,6290,9.3,248046,1267.01,649.78,316.7,300.54
06-May,6202,13,277996,1412.77,743.85,346.18,322.75
06-Jun,6492,16.7,277996,1532.52,777.95,386.03,368.54
06-Jul,6733,18.7,277996,1782.42,881.51,472.79,428.12
06-Aug,7040,17.6,277996,1841.9,925.97,476.87,439.06
06-Sep,6690,15.3,277996,1481.29,752.63,362.63,366.03
06-Oct,6220,10,277996,1329.31,715.12,302.17,312.02
06-Nov,6497,5.7,277996,1149.5,616.18,278.65,254.67
06-Dec,6582,4.4,277996,1357.44,703.87,351.55,302.03
07-Jan,6802,3,277996,1301.19,651.87,344.01,305.31
07-Feb,6947,5.9,277996,1207.16,624.25,307.81,275.1
07-Mar,6443,7.4,277996,1414.11,715.09,374.38,324.65
07-Apr,6835,8.9,277996,1320.07,697.74,325.84,296.49
07-May,6619,12.8,279940,1446.54,763.18,352.98,330.38
07-Jun,7096,15.2,279940,1560.85,788.72,397.97,374.16
07-Jul,7291,18.8,279940,1787.32,878.67,463.99,444.67
07-Aug,7642,17.8,279940,1890.13,945.44,485.32,459.37
07-Sep,7443,14.2,279940,1481.29,752.63,362.63,366.03
07-Oct,6921,9.6,279940,1324.42,715.12,297.28,312.02
07-Nov,7338,5.9,279940,1149.5,616.18,278.65,254.67
07-Dec,7358,3.2,298061,1357.44,703.87,351.55,302.03
08-Jan,7540,2.8,298061,1420.78,710.86,351.98,357.94
08-Feb,7543,5.5,298061,1361.18,710.01,344.62,306.55
08-Mar,6923,5.9,298061,1527.59,774.64,393.55,359.4
08-Apr,7351,7.6,298061,1401.73,737.4,336.73,327.61
08-May,7084,12.8,298061,1544.03,819.2,373.69,351.14
08-Jun,7288,14.4,298061,1641.89,849.45,405.28,387.17
08-Jul,7788,17.8,302279,1798.42,902.69,465.21,430.52
08-Aug,8120,17.8,302279,1892.9,971.06,484.17,437.67
08-Sep,7628,14.6,302279,1440.72,768,321.68,351.04
08-Oct,7099,10,302279,1327.44,757.37,279.68,290.4
08-Nov,7385,8.1,302279,1173.36,646.74,266.58,260.04
08-Dec,7481,0.9,302279,1322.42,697.35,312.3,312.77
